movieId,imdbId,tmdbId,title,popularity,vote_average,vote_count,genres,keywords,directors,actors
1,114709,862.0,Toy Story,21.946943,7.7,5415.0,Animation|Comedy|Family,jealousy|toy|boy|friendship|friend|rivalry|toy comes to life,John Lasseter,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Freeman|Penn Jillette
2,113497,8844.0,Jumanji,17.015539,6.9,2413.0,Adventure|Fantasy|Family,board game|disappearance|based on children's book|new home|recluse|giant insect,Joe Johnston,Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt|Bebe Neuwirth|David Alan Grier|Patricia Clarkson|Adam Hann-Byrd|Laura Bell Bundy|James Handy|Gillian Barber|Brandon Obray|Cyrus Thiedeke|Gary Joseph Thorup|Leonard Zola|Lloyd Berry|Malcolm Stewart|Annabel Kershaw|Darryl Henriques|Robyn Driscoll|Peter Bryant|Sarah Gilson|Florica Vlad|June Lion|Brenda Lockmuller
3,113228,15602.0,Grumpier Old Men,11.7129,6.5,92.0,Romance|Comedy,fish|best friend|duringcreditsstinger,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret|Sophia Loren|Daryl Hannah|Burgess Meredith|Kevin Pollak
4,114885,31357.0,Waiting to Exhale,3.859495,6.1,34.0,Comedy|Drama|Romance,based on novel|interracial relationship|single mother|divorce,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines|Dennis Haysbert|Michael Beach|Mykelti Williamson|Lamont Johnson|Wesley Snipes
5,113041,11862.0,Father of the Bride Part II,8.387519000000001,5.7,173.0,Comedy,baby|midlife crisis|confidant|aging|daughter|mother daughter relationship|pregnancy|gynecologist,Charles Shyer,Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern|Kieran Culkin|BD Wong|Peter Michael Goetz|Kate McGregor-Stewart|Jane Adams|Eugene Levy|Lori Alan
6,113277,949.0,Heat,17.924927,7.7,1886.0,Action|Crime|Drama|Thriller,robbery|detective|bank|obsession|chase|shooting|thief|honor|murder|suspense|heist|betrayed|money|gang|cat and mouse|criminal mastermind|cult film|ex-con|heist movie|loner|neo-noir|gun fight,Michael Mann,"Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore|Diane Venora|Amy Brenneman|Ashley Judd|Mykelti Williamson|Natalie Portman|Ted Levine|Tom Noonan|Tone Loc|Hank Azaria|Wes Studi|Dennis Haysbert|Danny Trejo|Henry Rollins|William Fichtner|Kevin Gage|Susan Traylor|Jerry Trimble|Ricky Harris|Jeremy Piven|Xander Berkeley|Begonya Plaza|Rick Avery|Hazelle Goodman|Ray Buktenica|Max Daniels|Vince Deadrick Jr.|Steven Ford|Farrah Forke|Patricia Healy|Paul Herman|Cindy Katz|Brian Libby|Dan Martin|Mario Roberts|Thomas Rosales, Jr.|Yvonne Zima|Mick Gould|Bud Cort|Viviane Vives|Kim Staunton|Martin Ferrero|Brad Baldridge|Andrew Camuccio|Kenny Endoso|Kimberly Flynn|Niki Harris|Bill McIntosh|Rick Marzan|Terry Miller|Daniel O'Haco|Kai Soremekun|Peter Blackwell|Trevor Coppola|Mary Kircher|Darin Mangan|Robert Miranda|Manny Perry|Iva Franks Singer|Tim Werner|Philip Ettington"
7,114319,11860.0,Sabrina,6.677277,6.2,141.0,Comedy|Romance,paris|brother brother relationship|chauffeur|long island|millionaire,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear|Angie Dickinson|Nancy Marchand|John Wood|Richard Crenna|Lauren Holly|Dana Ivey|Fanny Ardant|Patrick Bruel|Paul Giamatti|Miriam Colón|Elizabeth Franz|Valérie Lemercier|Becky Ann Baker|John C. Vennema|Margo Martindale|J. Smith-Cameron|Christine Luneau-Lipton|Michael Dees|Denis Holmes|Jo-Jo Lowe|Ira Wheeler|Philippa Cooper|Ayako Kawahara|François Genty|Guillaume Gallienne|Inés Sastre|Phina Oruche|Andrea Behalikova|Jennifer Herrera|Kristina Kumlin|Eva Linderholm|Carmen Chaplin|Micheline Van de Velde|Joanna Rhodes|Alan Boone|Patrick Forster-Delmas|Kentaro Matsuo|Peter McKernan|Ed Connelly|Ronald L. Schwary|Alvin Lum|Siching Song|Phil Nee|Randy Becker|Susan Browning|Anthony Mondal|Peter Parks|Woodrow Asai|Eric Bruno Borgman|Michael Cline|Christopher Del Gaudio|Philippe Hartmann|Jerry Quinn|Dori Rosenthal
8,112302,45325.0,Tom and Huck,2.561161,5.4,45.0,Action|Adventure|Drama|Family,,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Rachael Leigh Cook|Michael McShane|Amy Wright|Eric Schweig|Tamara Mello
9,114576,9091.0,Sudden Death,5.23158,5.5,174.0,Action|Adventure|Thriller,terrorist|hostage|explosive,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Dorian Harewood|Raymond J. Barry|Ross Malinger|Whittni Wright
10,113189,710.0,GoldenEye,14.686035999999998,6.6,1194.0,Adventure|Action|Thriller,cuba|falsely accused|secret identity|computer virus|secret base|secret intelligence service|kgb|satellite|special car|cossack|time bomb|st. petersburg russia|red army,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker|Judi Dench|Gottfried John|Robbie Coltrane|Alan Cumming|Tchéky Karyo|Desmond Llewelyn|Samantha Bond|Michael Kitchen|Serena Gordon|Simon Kunz|Billy J. Mitchell|Constantine Gregory|Minnie Driver|Michelle Arthur|Ravil Isyanov
11,112346,9087.0,The American President,6.318445,6.5,199.0,Comedy|Drama|Romance,white house|usa president|new love|widow,Rob Reiner,Michael Douglas|Annette Bening|Michael J. Fox|Martin Sheen|Anna Deavere Smith|Shawna Waldron|Samantha Mathis|David Paymer|Richard Dreyfuss|Nina Siemaszko|Wendie Malick|Beau Billingslea|Gail Strickland|Joshua Malina|Clement von Franckenstein|John Mahoney|John Mahon|Gabriel Jarret
12,112896,12110.0,Dracula: Dead and Loving It,5.430331,5.7,210.0,Comedy|Horror,dracula|spoof,Mel Brooks,Leslie Nielsen|Mel Brooks|Amy Yasbeck|Peter MacNicol|Lysette Anthony|Harvey Korman|Steven Weber|Mark Blankfield|Megan Cavanagh|Gregg Binkley|Anne Bancroft
13,112453,21032.0,Balto,12.140733,7.1,423.0,Family|Animation|Adventure,wolf|alaska|dog|bear attack,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins|Juliette Brewer|Jack Angel|Danny Mann|Robbie Rist|Sandra Dickinson|Frank Welker|Miriam Margolyes|Lola Bates-Campbell
